,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
271,11 injured in Entebbe Expressway crash,2023-03-05,Wakiso,,sagging electric wires suddenly blocked the road.,Kordofan University,6.0,Entebbe-bound vehicles,,,Toyota Landcruiser,Private cars,UBL,Saturday,rammed other vehicle,Night
272,UPDF officer dies in Namutumba road crash,2023-03-30,Namutumba,1.0,,,6.0,Mbale-Iganga ,to Mbale.,from Iganga,TX Prado,Private cars,,,rammed into stationary  truck,Night
273,Scores injured as two Rwanda buses collide in Ntungamo,2023-03-29,Ntungamo,,two,Rwahi,5.0,Ntungamo-Kabale,to Kampala,from Kampala,,,,Wednesday,head on collision,Night
274,Hoima District chairperson dies in accident,2023-03-18,Kiboga,1.0,17,Mataagi Village,22.0,Kampala-Hoima ,to Kiboga,from Kampala,truck,Truck,,March,head on collision,Night
275,Buliisa NMG reporter dies in road accident,2023-03-15,Bulisa,1.0,,,20.0,Wasenko-Buliisa road,to Mulago National Referral Hospital,from Wanseko,,,,Monday,overturned,Night
276,"Three dead, seven injured in Namutumba road crash",2023-03-09,Namutumba Town Council,3.0,,,13.0,Namutumba-Budumba Road,,,Fuso truck,Truck,UAR,Thursday,overturned,Day
277,"Expectant mother, four others injured in ambulance accident",2023-03-05,Rubanda,,speeding,Ntaraga Village,15.0,Kagunga-Kabale murram,,from Kiizi Health Center III,,,UAL,Saturday,overturned,Day
278,Speeding truck kills Primary Two pupil,2023-03-02,Kampala,2.0,speeding,,8.0,Kireka-Kamuli road,,,Mitsubishi Canter,Truck,,Thursday,knocked pedestrian,Day
279,Driver and turnboy burnt to death as fuel tanker overturns in Amuru,2023-03-07,Amuru,2.0,,,6.0,Gulu-Nimule highway,,,fuel tanker,Truck,SSD,,overturned,Night
280,"Three dead, 8 in hospital after Bukedea accident",2023-03-07,Bukedea,3.0,a tyre bust,Tamula,17.0,Mbale-Soroti,,from Soroti city,Toyota Hiace,Commuter taxi,UBK,Monday,overturned,Day
281,Two NMS staff die in road crash en route to deliver drugs,2023-02-10,Jimmy Patrick Okema,2.0,lost control,,6.0,Lira-Kamdini highway.,,from Entebbe,,,UBJ,Friday,overturned,Night
282,Accident claims three lives in Kikuube district,2023-02-11,Kikuube,3.0,lost control,Hohwa Trading Centre,20.0,Hoima-Kaiso-Tonya Road,,from Hoima,Fuso truck,Truck,UAZ,Friday,overturned,Night
283,23 passengers injured in Link bus accident,2023-02-07,Mubende,,"reckless driving, the findings",Precious Tumwinyare,2.0,Fort Portal-Kampala ,to Kampala.,from Bwera,bus,Bus,UBF,,head on collision,Night
284,Top Rwandan journalist killed in road accident - police,2023-01-20,,1.0,speeding,"RSF says.

",14.0,,Last Journalists,,,,,Wednesday,crahed motorcycle,Day
285,16 dead as bus rams into stationary trailer along Kampala-Gulu highway,2023-01-06,Oyam,16.0,reckless driving where,Adebe trading center,0.0,Kampala-Gulu ,to Gulu,from Kampala,bus,Bus,UAT,Friday,rammed into stationary  truck,Night
286,Tragedy as Mugamba household loses three in accident,2023-01-01,Mityana,3.0,returning] from Kamwenge [District,,,Kampala-Mityana Road,to Mityana District,from Kampala,truck,Truck,Tar,Friday,rammed other vehicle,Day
287,NAKASONGOLA: 16 injured in Valley bus accident,2023-01-10,Nakasongola,16.0,reckless driving on,,22.0,Kampala-Gulu highway,,,coach,Bus,UAR,Monday,overturned,Night
288,LWAKHAKHA: 21 dead in Mbale-Nairobi bus accident,2023-01-08,Mbale,21.0,high speed,Chepteyis,20.0,,to Kitau,from Mbale,bus,Bus,KCL,Saturday,overturned,Night
289,"PADER: One dead, 15 injured in bus accident",2023-01-06,Luna Parish,1.0,,,6.0,Pader-Agago road,to Agago,from Kampala,bus,Bus,UAQ,Thursday,overturned,Night
290,36 South Sudanese nationals injured in Amuru accident,2023-01-03,Adjumani,,,,,Adjumani-Attiak road,to Nimule,from Nyumanzi,Tipper lorry,Truck,UAV,Tuesday,overturned,Day
